GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab12025p,com.udea.lab12025p.mapper,CustomerMapper,0,5,0,0,0,1,0,1,0,1
lab12025p,com.udea.lab12025p.mapper,TransactionMapperImpl,33,0,2,0,10,0,3,0,2,0
lab12025p,com.udea.lab12025p.mapper,CustomerMapperImpl,60,3,4,0,18,1,4,1,2,1
lab12025p,com.udea.lab12025p.mapper,TransactionMapper,5,0,0,0,1,0,1,0,1,0
lab12025p,com.udea.lab12025p,Lab12025pApplication,5,63,2,2,2,17,3,3,1,3
lab12025p,com.udea.lab12025p.entity,Transaction,0,4,0,0,0,2,0,1,0,1
lab12025p,com.udea.lab12025p.entity,Customer,27,29,0,0,10,14,4,8,4,8
lab12025p,com.udea.lab12025p.service,CustomerService,0,106,0,2,0,20,0,9,0,8
lab12025p,com.udea.lab12025p.service,TransactionService,45,144,3,9,12,29,5,7,2,4
lab12025p,com.udea.lab12025p.DTO,TransactionDTO,18,38,0,0,7,17,1,11,1,11
lab12025p,com.udea.lab12025p.DTO,CustomerDTO,18,38,0,0,7,17,1,11,1,11
lab12025p,com.udea.lab12025p.controller,CustomerController,0,55,0,2,0,16,0,7,0,6
lab12025p,com.udea.lab12025p.controller,TransactionController,0,22,0,0,0,6,0,3,0,3
